DATE,CPMNACSCAB1GQFR
1975-01-01,56831.0
1975-04-01,58101.0
1975-07-01,59787.0
1975-10-01,61921.0
1976-01-01,64354.0
1976-04-01,67305.0
1976-07-01,69803.0
1976-10-01,71947.0
1977-01-01,73738.0
1977-04-01,75858.0
1977-07-01,78027.0
1977-10-01,80070.0
1978-01-01,82455.0
1978-04-01,85915.0
1978-07-01,89230.0
1978-10-01,92030.0
1979-01-01,95359.0
1979-04-01,97864.0
1979-07-01,101532.0
1979-10-01,104671.0
1980-01-01,108684.7
1980-04-01,111505.5
1980-07-01,114598.9
1980-10-01,116917.9
1981-01-01,120599.2
1981-04-01,124696.8
1981-07-01,129520.0
1981-10-01,135026.5
1982-01-01,140620.3
1982-04-01,145340.0
1982-07-01,148145.1
1982-10-01,151527.2
1983-01-01,156172.9
1983-04-01,160405.7
1983-07-01,164917.5
1983-10-01,168583.0
1984-01-01,172235.9
1984-04-01,175416.5
1984-07-01,178896.9
1984-10-01,180516.3
1985-01-01,183938.9
1985-04-01,188253.7
1985-07-01,191438.1
1985-10-01,194600.5
1986-01-01,198546.0
1986-04-01,202389.8
1986-07-01,205918.2
1986-10-01,207973.0
1987-01-01,208514.3
1987-04-01,212304.6
1987-07-01,215539.3
1987-10-01,220002.6
1988-01-01,224503.1
1988-04-01,228008.9
1988-07-01,233568.6
1988-10-01,238234.9
1989-01-01,243000.4
1989-04-01,246722.6
1989-07-01,251372.9
1989-10-01,256694.5
1990-01-01,259857.9
1990-04-01,263461.3
1990-07-01,264380.7
1990-10-01,266443.7
1991-01-01,268395.0
1991-04-01,272221.8
1991-07-01,274385.0
1991-10-01,277635.4
1992-01-01,281532.6
1992-04-01,282355.6
1992-07-01,283514.7
1992-10-01,283415.9
1993-01-01,284336.9
1993-04-01,284716.4
1993-07-01,285664.5
1993-10-01,286846.8
1994-01-01,289396.0
1994-04-01,293254.9
1994-07-01,296449.2
1994-10-01,300076.9
1995-01-01,301512.8
1995-04-01,304427.7
1995-07-01,306064.6
1995-10-01,307405.6
1996-01-01,311079.8
1996-04-01,312283.9
1996-07-01,314093.7
1996-10-01,315228.3
1997-01-01,317072.7
1997-04-01,321334.0
1997-07-01,325277.7
1997-10-01,329667.7
1998-01-01,333934.8
1998-04-01,337318.2
1998-07-01,339583.6
1998-10-01,341773.8
1999-01-01,345741.0
1999-04-01,347082.9
1999-07-01,351069.2
1999-10-01,356132.7
2000-01-01,362520.4
2000-04-01,368043.9
2000-07-01,372459.1
2000-10-01,377269.0
2001-01-01,380791.7
2001-04-01,383581.9
2001-07-01,386381.0
2001-10-01,388399.7
2002-01-01,393266.6
2002-04-01,395764.2
2002-07-01,398582.2
2002-10-01,401731.6
2003-01-01,403147.7
2003-04-01,405179.7
2003-07-01,409911.6
2003-10-01,414405.3
2004-01-01,419899.2
2004-04-01,423485.0
2004-07-01,426283.4
2004-10-01,431831.9
2005-01-01,434901.2
2005-04-01,438808.4
2005-07-01,442407.4
2005-10-01,448300.3
2006-01-01,453972.1
2006-04-01,460629.1
2006-07-01,464223.5
2006-10-01,471258.9
2007-01-01,476478.2
2007-04-01,483097.0
2007-07-01,489258.5
2007-10-01,493784.8
2008-01-01,499670.0
2008-04-01,500027.2
2008-07-01,499291.4
2008-10-01,492757.8
2009-01-01,483610.6
2009-04-01,482552.7
2009-07-01,483061.6
2009-10-01,488136.8
2010-01-01,491349.4
2010-04-01,496127.3
2010-07-01,501238.0
2010-10-01,505231.9
2011-01-01,511136.2
2011-04-01,512213.2
2011-07-01,515732.9
2011-10-01,518201.8
2012-01-01,519795.6
2012-04-01,521358.5
2012-07-01,523702.4
2012-10-01,523761.6
2013-01-01,525747.9
2013-04-01,530050.8
2013-07-01,529824.6
2013-10-01,533822.5
2014-01-01,535448.5
2014-04-01,535916.1
2014-07-01,539303.9
2014-10-01,541391.2
2015-01-01,546471.8
2015-04-01,548335.1
2015-07-01,551226.6
2015-10-01,553568.9
2016-01-01,557909.2
2016-04-01,555910.3
2016-07-01,557779.0
2016-10-01,561206.0
2017-01-01,567038.4
2017-04-01,572612.0
2017-07-01,577812.4
2017-10-01,581989.3
2018-01-01,584840.8
2018-04-01,588622.5
2018-07-01,593013.0
2018-10-01,598072.1
2019-01-01,604334.2
2019-04-01,610620.3
2019-07-01,612372.1
2019-10-01,612755.2
2020-01-01,585312.8
2020-04-01,525197.4
2020-07-01,598693.1
2020-10-01,600410.4
2021-01-01,606014.8
2021-04-01,615114.9
2021-07-01,635644.7
2021-10-01,642048.5
2022-01-01,646767.9
2022-04-01,654785.2
2022-07-01,664448.9
2022-10-01,675691.0
