DATAFLOW,LAST UPDATE,freq,unit,tra_meas,schedule,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-01,189538.2,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-02,184163.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-03,219104.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-04,192662.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-05,206265.7,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-06,195222.8,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-07,204045.7,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-08,183380.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-09,197266.5,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-10,208365.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-11,179732.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2019-12,211616,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-01,220729.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-02,206485.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-03,168246.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-04,88351.1,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-05,151804.1,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-06,146935.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-07,148776.5,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-08,148256.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-09,155799.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-10,162986.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-11,160381.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2020-12,178213.1,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-01,172828.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-02,174399,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-03,193695.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-04,185316.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-05,177774.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-06,184362.9,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-07,177067.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-08,188463.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-09,189228,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-10,209579.1,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-11,203196.5,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2021-12,214108.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-01,152961.5,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-02,164462.8,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-03,210600.9,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-04,187242.6,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-05,219684.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-06,223396.3,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-07,222518.7,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-08,224128.4,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-09,234967.1,
ESTAT:AVIA_GOOC(1.0),13/03/23 23:00:00,M,T,FRM_BRD,TOT,TOTAL,FR,2022-10,240623.8,
