DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-01,11234746,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-02,10790524,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-03,12897338,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-04,14839443,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-05,14652125,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-06,15951063,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-07,17323730,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-08,17325626,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-09,15270459,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-10,14654497,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-11,11688139,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2019-12,12099098,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-01,11627143,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-02,11125495,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-03,5397724,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-04,141251,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-05,229023,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-06,896617,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-07,4043385,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-08,5746232,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-09,3820073,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-10,3456138,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-11,1345175,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2020-12,2895755,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-01,2813971,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-02,1708372,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-03,1788149,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-04,1761648,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-05,2826385,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-06,4634385,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-07,8613106,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-08,9965399,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-09,7971142,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-10,8498814,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-11,7796855,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2021-12,7652183,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-01,5621597,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-02,6832454,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-03,8898697,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-04,11715509,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-05,12678583,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-06,13186303,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-07,15006639,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-08,15197215,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-09,13046962,
ESTAT:AVIA_PAOC(1.0),13/03/23 23:00:00,M,PAS,PAS_CRD,TOTAL,TOT,FR,2022-10,13095303,
